episode,score,steps,epsilon,lr,loss,avg_v,grad_norm
280,55,11,0.9842,0.00004961,6.3758,36.7078,0.0000
281,31,9,0.9842,0.00004960,4.5358,33.6350,0.0000
282,55,11,0.9841,0.00004960,5.2789,38.0292,0.0000
283,197,16,0.9841,0.00004960,3.8722,41.5282,0.0000
284,216,24,0.9840,0.00004960,4.9472,44.8375,0.0000
285,29,8,0.9840,0.00004960,5.8878,33.1660,0.0000
286,50,9,0.9839,0.00004960,6.5482,35.5168,0.0000
287,38,8,0.9839,0.00004960,4.4011,42.0737,0.0000
288,37,11,0.9838,0.00004960,7.2278,33.7383,0.0000
289,36,10,0.9837,0.00004959,3.5280,33.3337,0.0000
290,162,18,0.9837,0.00004959,6.0007,40.6133,0.0000
291,31,7,0.9836,0.00004959,6.1450,35.6382,0.0000
292,29,7,0.9836,0.00004959,5.1610,33.9355,0.0000
293,133,20,0.9835,0.00004959,5.0969,40.2714,0.0000
294,31,9,0.9835,0.00004959,3.5117,32.1208,0.0000
295,44,11,0.9834,0.00004959,7.1538,34.4510,0.0000
296,39,10,0.9833,0.00004958,7.0962,33.8935,0.0000
297,67,13,0.9833,0.00004958,4.8693,37.4574,0.0000
298,30,8,0.9832,0.00004958,6.8626,32.4646,0.0000
299,48,10,0.9832,0.00004958,5.3320,36.3053,0.0000
300,51,9,0.9831,0.00004958,4.2599,36.7022,0.0000
301,150,20,0.9831,0.00004958,6.1249,46.8788,0.0000
302,87,13,0.9830,0.00004958,6.9442,41.4411,0.0000
303,34,8,0.9830,0.00004957,7.0208,41.9428,0.0000
304,31,7,0.9829,0.00004957,6.8849,39.8440,0.0000
305,78,16,0.9828,0.00004957,6.4200,40.4852,0.0000
306,84,14,0.9828,0.00004957,6.1543,44.0651,0.0000
307,171,18,0.9827,0.00004957,5.1595,47.3691,0.0000
308,29,6,0.9827,0.00004957,6.9703,40.5564,0.0000
309,31,8,0.9826,0.00004957,8.3726,41.2072,0.0000
310,71,13,0.9826,0.00004956,5.5807,40.7346,0.0000
311,87,14,0.9825,0.00004956,6.1722,41.9869,0.0000
312,80,16,0.9825,0.00004956,6.6531,41.5830,0.0000
313,52,11,0.9824,0.00004956,4.4128,40.9503,0.0000
314,72,14,0.9823,0.00004956,6.4284,40.0369,0.0000
315,59,14,0.9823,0.00004956,5.2263,41.2127,0.0000
316,37,10,0.9822,0.00004956,6.0344,38.4193,0.0000
317,35,10,0.9822,0.00004955,7.9254,37.0581,0.0000
318,159,21,0.9821,0.00004955,7.2935,44.7369,0.0000
319,83,13,0.9821,0.00004955,5.2671,42.8157,0.0000
320,39,10,0.9820,0.00004955,4.3960,41.3659,0.0000
321,32,8,0.9819,0.00004955,3.7036,40.3760,0.0000
322,38,9,0.9819,0.00004955,7.9391,39.2372,0.0000
323,34,9,0.9818,0.00004955,5.9270,38.6517,0.0000
324,65,10,0.9818,0.00004954,6.4877,41.6181,0.0000
325,107,19,0.9817,0.00004954,6.1699,42.0253,0.0000
326,49,10,0.9817,0.00004954,5.8105,39.2064,0.0000
