episode,score,steps,epsilon,lr,loss,avg_v,grad_norm
382,51,11,0.9427,0.00004857,5.7605,44.6812,0.0000
383,42,7,0.9425,0.00004856,5.4048,48.3236,0.0000
384,84,13,0.9424,0.00004856,6.7313,51.2070,0.0000
385,65,15,0.9423,0.00004856,5.0990,47.3060,0.0000
386,36,10,0.9421,0.00004855,6.1364,45.2935,0.0000
387,45,8,0.9419,0.00004855,8.8271,47.5309,0.0000
388,41,10,0.9418,0.00004855,6.8292,41.9188,0.0000
389,38,8,0.9416,0.00004854,6.1542,45.9610,0.0000
390,34,8,0.9415,0.00004854,6.4034,44.5300,0.0000
391,33,9,0.9414,0.00004853,8.0761,45.8972,0.0000
392,52,12,0.9412,0.00004853,6.7162,47.4268,0.0000
393,42,11,0.9410,0.00004853,5.8432,46.7251,0.0000
394,41,11,0.9409,0.00004852,10.9719,48.6302,0.0000
395,125,17,0.9407,0.00004852,5.8760,55.1660,0.0000
396,31,8,0.9406,0.00004852,8.0531,48.3034,0.0000
397,37,10,0.9405,0.00004851,6.1843,48.6814,0.0000
398,47,12,0.9403,0.00004851,6.5131,49.9015,0.0000
399,95,14,0.9402,0.00004850,5.4687,58.8931,0.0000
400,68,9,0.9400,0.00004850,5.7982,54.7414,0.0000
401,44,9,0.9398,0.00004850,5.7189,47.8451,0.0000
402,34,9,0.9397,0.00004849,6.1442,49.5229,0.0000
403,44,13,0.9395,0.00004849,9.1952,45.5044,0.0000
404,93,16,0.9394,0.00004849,5.0924,55.9737,0.0000
405,48,9,0.9393,0.00004848,6.9873,49.3682,0.0000
406,44,12,0.9391,0.00004848,5.2623,46.3975,0.0000
407,40,11,0.9389,0.00004847,7.6363,48.2067,0.0000
408,31,8,0.9388,0.00004847,6.8957,49.3171,0.0000
409,38,9,0.9386,0.00004847,4.8457,47.3871,0.0000
410,63,12,0.9385,0.00004846,7.4345,50.9762,0.0000
411,33,8,0.9384,0.00004846,4.4129,50.0157,0.0000
412,102,16,0.9382,0.00004846,5.9637,51.9626,0.0000
413,57,11,0.9381,0.00004845,8.0136,54.8242,0.0000
414,32,7,0.9379,0.00004845,3.7526,49.0412,0.0000
415,40,11,0.9377,0.00004844,6.6744,48.0038,0.0000
416,56,13,0.9376,0.00004844,5.7765,48.8566,0.0000
417,40,9,0.9375,0.00004844,6.5813,49.8647,0.0000
418,40,9,0.9373,0.00004843,6.6030,50.9437,0.0000
419,107,14,0.9372,0.00004843,6.4287,55.3392,0.0000
420,42,10,0.9370,0.00004843,4.2331,51.4011,0.0000
421,36,8,0.9368,0.00004842,5.6632,50.8050,0.0000
422,61,14,0.9367,0.00004842,5.9429,52.4532,0.0000
423,39,11,0.9365,0.00004841,6.1872,50.7951,0.0000
424,43,12,0.9364,0.00004841,7.1843,49.1013,0.0000
425,67,11,0.9363,0.00004841,5.5257,50.1446,0.0000
426,60,12,0.9361,0.00004840,5.7036,50.5234,0.0000
427,87,14,0.9359,0.00004840,7.6493,52.6963,0.0000
428,30,7,0.9358,0.00004839,5.4875,48.5663,0.0000
429,45,13,0.9356,0.00004839,7.6019,51.8386,0.0000
430,39,10,0.9355,0.00004839,5.3164,48.8139,0.0000
431,49,9,0.9354,0.00004838,5.9567,50.2851,0.0000
432,129,18,0.9352,0.00004838,6.6413,54.5836,0.0000
