rollout,total_steps,avg_score,avg_steps,policy_loss,value_loss,entropy
363,743424,82.84,13.43,0.0078,5318.1534,0.0694
364,745472,88.89,13.80,0.0089,5856.3024,0.0775
365,747520,91.43,14.19,0.0063,4668.0853,0.0824
366,749568,94.22,13.93,0.0003,4691.0858,0.0640
367,751616,83.13,13.17,-0.0014,5192.1580,0.0650
368,753664,80.96,13.30,0.0025,5263.1752,0.0612
369,755712,88.36,13.33,0.0007,6290.2080,0.0595
370,757760,103.94,14.61,0.0000,6778.9353,0.0516
371,759808,85.45,13.08,0.0017,6399.1336,0.0714
372,761856,84.36,13.40,0.0025,4955.2599,0.0761
373,763904,88.89,13.72,0.0035,4798.2388,0.0729
374,765952,76.81,12.80,0.0022,4868.6769,0.0885
375,768000,84.20,13.65,0.0013,5047.5562,0.0867
376,770048,92.59,13.26,0.0012,5004.4753,0.0873
377,772096,82.10,13.08,0.0058,5081.9447,0.1174
378,774144,95.88,13.97,0.0025,6447.9267,0.0928
379,776192,85.75,13.33,0.0040,6183.0104,0.0940
380,778240,98.68,14.43,0.0017,5886.1734,0.0648
381,780288,87.73,13.75,0.0003,5309.2972,0.0630
382,782336,85.03,13.00,-0.0035,5835.3721,0.0773
383,784384,90.02,13.63,-0.0008,5732.4719,0.0812
384,786432,102.11,14.22,0.0004,5960.1207,0.0688
385,788480,86.87,13.27,0.0012,6621.1956,0.0735
386,790528,85.04,13.28,0.0022,6903.1801,0.0788
387,792576,96.62,13.93,0.0028,6237.2156,0.0884
388,794624,102.20,14.58,0.0021,6034.4723,0.1023
389,796672,81.87,13.24,0.0031,5101.0087,0.0912
390,798720,83.57,13.33,-0.0009,4758.3046,0.0880
391,800768,83.84,12.96,0.0002,5640.6598,0.0985
392,802816,105.07,14.75,0.0015,5773.7269,0.0935
393,804864,81.07,13.10,0.0055,5760.0440,0.1062
394,806912,87.82,13.20,0.0100,6585.2410,0.0927
395,808960,72.06,12.42,0.0045,5412.0711,0.0896
396,811008,78.82,12.88,0.0023,5169.9041,0.0957
397,813056,90.95,14.08,0.0024,5295.5960,0.0995
398,815104,96.27,14.03,0.0036,6015.0102,0.0831
399,817152,85.30,12.82,0.0019,6408.8710,0.0547
400,819200,87.15,13.52,-0.0000,5428.0997,0.0544
